codigo_participante,codigo_subtema,subtema,valor,cita_literal,archivo_fuente,criterio
EV2-PAC-07,SUB-04,Supervisión y corrección de ejecución,1,Sin supervisión podía compensar el movimiento con la otra pierna o no darme cuenta de más,02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-05,Registro de dolor y fatiga,1,"Registraría dolor, inflamación, rango de movimiento, estabilidad, tiempo de la rutina, los ejercicios completados y comentarios.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-06,Seguimiento del progreso,1,"Me habría servido comparar el dolor, la estabilidad y el rango de movimiento semana a semana.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-07,Comunicación con fisioterapeuta,1,"Podría mejorar la organización de las rutinas por fase, el intercambio de información con el fisioterapeuta",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-08,Privacidad de cámara y datos,1,También quisiera saber si la cámara analiza el movimiento en el dispositivo o si envía las imágenes a otro lugar.,02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-09,Acceso familiar autorizado,1,"Un entrenador podría ver únicamente un resumen de actitud o restricciones, pero solo si yo lo autorizo.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-10,Seguridad y señales de alarma,1,una alerta cuando reporte dolor por encima del límite indicado.,02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-12,Organización centralizada,1,"no tenía un solo lugar donde relacionar el dolor, el tiempo y el ejercicio realizado.",02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-13,Control profesional de las decisiones,1,el sistema debería permitir que el profesional revise los registros y ajuste el plan sin que la aplicación cambie el tratamiento por sí sola.,02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-15,Vigencia y versiones de rutinas,1,Era difícil saber cuál correspondía a la rutina actual.,02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-07,SUB-16,Priorización y frecuencia de avisos,1,una alerta cuando reporte dolor por encima del límite indicado.,02_Evidencias/Transcripciones/TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-01,Adherencia y recordatorios,1,me ayudaba a tener hojas impresas y colocar una alarma en el teléfono,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-02,Instrucciones y dosificación,1,se me olvidaban ejercicios sobre todo olvidarme de los días de los días repetitivos en los tiempos debido a sostener el brazo,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-03,Apoyo audiovisual,1,hubiese sido mejor si tenía tenía vídeos cortos vistos desde más de un ángulo,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-04,Supervisión y corrección de ejecución,1,la dificultad que eran saber si estaba usando la postura correcta,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-05,Registro de dolor y fatiga,1,necesitaría el nivel del dolor antes de antes y después la repetición es completa si sentí cansado,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-06,Seguimiento del progreso,1,no tenía una forma clara de ver si el movimiento del hombro estaba mejorando o semana a semana,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-07,Comunicación con fisioterapeuta,1,una opción para enviar una duda o un registro al terapeuta,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-08,Privacidad de cámara y datos,1,quisiera saber este de dónde se guardan los vídeos y quién puede verlos,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-09,Acceso familiar autorizado,1,una familia podría hacer unicamente si yo lo autorizo,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-10,Seguridad y señales de alarma,1,además de una explicación de qué molestias eran normales y qué momentos debía de tener,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-11,Accesibilidad y facilidad de uso,1,marcar un ejercicio como realizar sin buscar entre muchos menús,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-12,Organización centralizada,1,que todo el plan esté en un solo lugar,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-15,Vigencia y versiones de rutinas,1,cuando cambiaba la rutina también me confundía en los ejercicios anteriores con los nuevos,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-08,SUB-17,Revocación y gestión de permisos,1,debería poder quitarle el acceso cuando quiera,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-09,SUB-01,Adherencia y recordatorios,1,Mi hija me recordaba los horarios y anotaba en un calendario los días que cumplía.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-09,SUB-02,Instrucciones y dosificación,1,"respetar el orden, descansar entre ejercicios y no continuar si sentí un dolor fuerte",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-09,SUB-03,Apoyo audiovisual,1,me hubiera ayudado a escuchar las instrucciones y ver imágenes grandes,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-09,SUB-04,Supervisión y corrección de ejecución,1,no podía comprobar con facilidad si estaba colocando bien el pie.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-09,SUB-05,Registro de dolor y fatiga,1,"yo registraría el dolor, el cansancio, cuánto tiempo caminé",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-09,SUB-06,Seguimiento del progreso,1,"no tenía un registro de los minutos, la distancia o la ayuda que necesitaba cada semana.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-09,SUB-07,Comunicación con fisioterapeuta,1,necesitaba saber con claridad cuándo un dolor era esperado y cuándo debía avisar el fisioterapeuta.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-09,SUB-08,Privacidad de cámara y datos,1,me preocuparía que la cámara se encendiera sin avisar o que grabara otras personas.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-09,SUB-09,Acceso familiar autorizado,1,"mi hija también porque me ayuda, pero solamente con mi autorización.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-09,SUB-10,Seguridad y señales de alarma,1,no continuar si sentí un dolor fuerte o de pronto maría.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EV2-PAC-09,SUB-11,Accesibilidad y facilidad de uso,1,"serían útiles botones grandes, instrucciones con audio, recordatorios sencillos",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-01,Adherencia y recordatorios,1,"Otro problema es la constancia. Durante los primeros días puede cumplir todo, pero después puede comenzar a saltarse sesiones",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-02,Instrucciones y dosificación,1,También puede confundirse con las repeticiones y los descansos,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-03,Apoyo audiovisual,1,"Preferiría videos cortos, unos ejercicios con una explicación sencilla",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-04,Supervisión y corrección de ejecución,1,en casa no existe una corrección inmediata. El paciente puede creer que está haciendo bien el ejercicio,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-05,Registro de dolor y fatiga,1,"Añadiría dolor, fatiga y observación opcional.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-06,Seguimiento del progreso,1,Vería primero un calendario de cumplimiento y después gráficos de dolor y fatiga.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-07,Comunicación con fisioterapeuta,1,Complementaría eso con guías de ejercicios y comunicación.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-08,Privacidad de cámara y datos,1,el paciente debería decidir cuándo comienza el análisis y debería existir una indicación visible mientras la cámara está activa.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-09,Acceso familiar autorizado,1,"Si existe acceso a familiares, debería limitarse según la autorización.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-10,Seguridad y señales de alarma,1,"Una alerta importante sería un aumento brusco de dolor, una caída, mareo, pérdida inesperada de la movilidad",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-11,Accesibilidad y facilidad de uso,1,Podría utilizarse botones o escalas rápidas y dejar el texto solamente para situaciones especiales.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-12,Organización centralizada,1,Debería conectar el cumplimiento de síntomas y el progreso en un mismo lugar.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-13,Control profesional de las decisiones,1,"Puede apoyar decisiones, pero no reemplazar la evaluación profesional.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-14,Explicabilidad e incertidumbre,1,Yo exigiría que explique de dónde sale la recomendación y que el fisioterapeuta pueda ver los datos originales.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-16,Priorización y frecuencia de avisos,1,Yo separaría las alertas de urgentes de avisos informativos.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-01,SUB-17,Revocación y gestión de permisos,1,El usuario debería poder consultar con permisos sistemáticos y modificarlos.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-01,Adherencia y recordatorios,1,un recordatorio puede ayudar a crear constancia que es lo más importante.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-02,Instrucciones y dosificación,1,"se le puede olvidar detalles importantes como la postura, la cantidad de repeticiones, el tiempo de descanso o la velocidad correcta del movimiento.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-03,Apoyo audiovisual,1,Un video corto permitiría volver a revisar el movimiento todas las veces que sea necesario.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-04,Supervisión y corrección de ejecución,1,En casa no tiene a alguien que lo corrija en el momento,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-05,Registro de dolor y fatiga,1,También anotaría el nivel de dolor y cansancio antes y después,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-06,Seguimiento del progreso,1,Creo que sería útil mostrar gráficos semanales para identificar tendencias,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-07,Comunicación con fisioterapeuta,1,la alerta debería indicar qué ocurrió y cuándo para que el fisioterapeuta pueda decidir si debe contactar al paciente,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-08,Privacidad de cámara y datos,1,tendría que activarse solo cuando el paciente lo acepte y entienda para qué se utiliza.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-09,Acceso familiar autorizado,1,"si autoriza un familiar, no necesariamente tendría que compartir todo, sino que sólo sea lo necesario para apoyarlo.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
