codigo_participante,codigo_subtema,subtema,valor_anterior,valor_nuevo,accion,justificacion
EV2-PAC-04,SUB-07,Comunicación con fisioterapeuta,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-04,SUB-08,Privacidad de cámara y datos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-04,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-04,SUB-13,Control profesional de las decisiones,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-04,SUB-16,Priorización y frecuencia de avisos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-04,SUB-17,Revocación y gestión de permisos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-05,SUB-07,Comunicación con fisioterapeuta,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-05,SUB-10,Seguridad y señales de alarma,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-05,SUB-11,Accesibilidad y facilidad de uso,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-05,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-05,SUB-16,Priorización y frecuencia de avisos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-05,SUB-17,Revocación y gestión de permisos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-06,SUB-03,Apoyo audiovisual,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-06,SUB-07,Comunicación con fisioterapeuta,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-06,SUB-10,Seguridad y señales de alarma,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-06,SUB-11,Accesibilidad y facilidad de uso,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-06,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-06,SUB-17,Revocación y gestión de permisos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-08,SUB-13,Control profesional de las decisiones,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-08,SUB-14,Explicabilidad e incertidumbre,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-08,SUB-15,Vigencia y versiones de rutinas,0,1,AGREGADA,Se identificó una cita literal suficiente en la transcripción disponible que respalda la definición vigente del subtema.
EV2-PAC-09,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-09,SUB-13,Control profesional de las decisiones,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-09,SUB-14,Explicabilidad e incertidumbre,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EV2-PAC-09,SUB-17,Revocación y gestión de permisos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EFT-01,SUB-10,Seguridad y señales de alarma,0,1,AGREGADA,Se identificó una cita literal suficiente en la transcripción disponible que respalda la definición vigente del subtema.
EFT-01,SUB-15,Vigencia y versiones de rutinas,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
EFT-03,SUB-10,Seguridad y señales de alarma,0,1,AGREGADA,Se identificó una cita literal suficiente en la transcripción disponible que respalda la definición vigente del subtema.
EFT-03,SUB-15,Vigencia y versiones de rutinas,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-01,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-01,SUB-13,Control profesional de las decisiones,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-01,SUB-14,Explicabilidad e incertidumbre,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-02,SUB-05,Registro de dolor y fatiga,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-02,SUB-07,Comunicación con fisioterapeuta,0,1,AGREGADA,Se identificó una cita literal suficiente en la transcripción disponible que respalda la definición vigente del subtema.
FAM-02,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-02,SUB-13,Control profesional de las decisiones,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-02,SUB-14,Explicabilidad e incertidumbre,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-03,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-03,SUB-13,Control profesional de las decisiones,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-03,SUB-14,Explicabilidad e incertidumbre,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-03,SUB-15,Vigencia y versiones de rutinas,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-04,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FAM-04,SUB-15,Vigencia y versiones de rutinas,0,1,AGREGADA,Se identificó una cita literal suficiente en la transcripción disponible que respalda la definición vigente del subtema.
FIS-01,SUB-07,Comunicación con fisioterapeuta,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FIS-01,SUB-08,Privacidad de cámara y datos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FIS-01,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FIS-01,SUB-13,Control profesional de las decisiones,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FIS-01,SUB-15,Vigencia y versiones de rutinas,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
FIS-01,SUB-16,Priorización y frecuencia de avisos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
WALK-NTEC-01,SUB-10,Seguridad y señales de alarma,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
WALK-NTEC-01,SUB-11,Accesibilidad y facilidad de uso,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
WALK-NTEC-01,SUB-12,Organización centralizada,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
WALK-NTEC-01,SUB-13,Control profesional de las decisiones,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
WALK-NTEC-01,SUB-14,Explicabilidad e incertidumbre,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
WALK-NTEC-01,SUB-17,Revocación y gestión de permisos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
WALK-TEC-01,SUB-08,Privacidad de cámara y datos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
WALK-TEC-01,SUB-11,Accesibilidad y facilidad de uso,0,1,AGREGADA,Se identificó una cita literal suficiente en la transcripción disponible que respalda la definición vigente del subtema.
WALK-TEC-01,SUB-13,Control profesional de las decisiones,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
WALK-TEC-01,SUB-15,Vigencia y versiones de rutinas,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
WALK-TEC-01,SUB-16,Priorización y frecuencia de avisos,1,0,RETIRADA,No se encontró una cita literal suficiente en la transcripción disponible que respaldara la definición vigente del subtema.
