Caso_Prueba,Requisito,Requisito_Probado,Fecha_Ejecucion,Resultado,Evidencia,Observacion
CP-15,RF-15,Crear plan terapéutico personalizado,2026-09-22,PARCIAL,2026-09-22_CP-15_RF-15_PLAN_TERAPEUTICO_PARCIAL.png,"El MVP permite personalizar y asignar rutinas mediante ejercicio, series, repeticiones, frecuencia, prioridad e indicaciones, pero no implementa una entidad completa de plan terapéutico con toda la lógica prevista en el ERS."
CP-16,RF-16,Gestionar catálogo de ejercicios,2026-09-22,APROBADO,2026-09-22_CP-16_RF-16_GESTION_EJERCICIO.png; 2026-09-22_CP-16_RF-16_GESTION_EJERCICIO_DESPUES.png,Se creó y guardó el ejercicio ficticio Ejercicio E2 y quedó visible en el catálogo.
CP-17,RF-17,Asignar rutina terapéutica,2026-09-22,APROBADO,2026-09-22_CP-17_RF-17_ASIGNAR_RUTINA.png,"Se asignó una rutina al Paciente E2 con ejercicio, series, repeticiones, frecuencia, prioridad e indicaciones."
CP-18,RF-18,Mostrar guías visuales,2026-09-22,PARCIAL,2026-09-22_CP-18_RF-18_GUIA_EJERCICIO.png,"La aplicación muestra instrucciones textuales y una representación gráfica simple para cada ejercicio, pero no dispone de material visual o audiovisual específico del ejercicio."
CP-19,RF-19,Iniciar sesión remota de ejercicios,2026-09-22,PARCIAL,2026-09-22_CP-19_RF-19_INICIAR_SESION.png,"El MVP permite iniciar una sesión local simulada con temporizador y estado activo, pero no existe conexión remota con backend ni sincronización con el fisioterapeuta."
CP-20,RF-20,Capturar movimiento con cámara,2026-09-22,NO IMPLEMENTADO,2026-09-22_CP-20_RF-20_CAPTURA_CAMARA_SIMULADA.png,La opción Autorizar cámara únicamente habilita una simulación interna. No se solicita permiso del navegador para una cámara física ni se captura video real.
CP-21,RF-21,Analizar movimiento del paciente,2026-09-22,NO IMPLEMENTADO,2026-09-22_CP-21_RF-21_ANALISIS_MOVIMIENTO_SIMULADO.png,"El MVP muestra retroalimentación simulada durante una sesión activa, pero no captura ni analiza movimiento real mediante cámara, visión por computadora o IA."
CP-22,RF-22,Detectar errores de postura,2026-09-22,NO IMPLEMENTADO,2026-09-22_CP-22_RF-22_DETECCION_POSTURA_SIMULADA.png,"El MVP muestra mensajes predefinidos de retroalimentación durante la sesión, pero no detecta errores posturales reales mediante cámara o análisis automático."
CP-23,RF-23,Contar repeticiones correctas,2026-09-22,NO IMPLEMENTADO,2026-09-22_CP-23_RF-23_CONTEO_REPETICIONES_MANUAL.png,El contador aumenta únicamente cuando el usuario pulsa Sumar repetición; no identifica ni valida automáticamente repeticiones correctas.
CP-24,RF-24,Rechazar repeticiones incorrectas,2026-09-22,NO IMPLEMENTADO,2026-09-22_CP-24_RF-24_RECHAZO_REPETICIONES_NO_IMPLEMENTADO.png,Durante la ejecución no existe ningún mecanismo para detectar o rechazar automáticamente repeticiones incorrectas; el MVP únicamente permite sumar repeticiones manualmente.
CP-26,RF-26,Registrar evidencia de cumplimiento,2026-09-22,PARCIAL,2026-09-22_CP-26_RF-26_SEGUIMIENTO_EVIDENCIA.png; 2026-09-22_CP-26_RF-26_EVIDENCIA_EXPORTADA.png,"El sistema conserva una etiqueta de tipo de evidencia dentro del seguimiento y la exporta en JSON, pero no captura ni adjunta un archivo multimedia real."
CP-27,RF-27,Visualizar progreso terapéutico,2026-09-22,APROBADO,2026-09-22_CP-27_RF-27_VISUALIZAR_PROGRESO.png,El módulo de reportes muestra información de dolor/fatiga y cumplimiento a partir del seguimiento registrado localmente.
