fecha,codigo_participante,tipo_sesion,transcripciones_asociadas,nota_campo_asociada,estado,observacion
2026-07-19,EV2-PAC-01,Entrevista,TRANSCRIPCIONES_EV2-PAC-01_Entrevista.txt,2026-07-19_Entrevista_Paciente_EV2-PAC-01_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-19,EV2-PAC-03,Entrevista,TRANSCRIPCIONES_EV2-PAC-03_Entrevista.txt,2026-07-19_Entrevista_Paciente_EV2-PAC-03_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-19,EV2-PAC-04,Entrevista,TRANSCRIPCIONES_EV2-PAC-04_Entrevista.txt,2026-07-19_Entrevista_Paciente_EV2-PAC-04_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-19,WALK-NTEC-01,Entrevista + Walkthrough,TRANSCRIPCIONES_WALK-NTEC-01_Entrevista.txt; TRANSCRIPCIONES_WALK-NTEC-01_Walktrough.txt,2026-07-19_Walkthrough_No_Tecnico_WALK-NTEC-01_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,"Código vigente: WALK-NTEC-01. El acta conserva el código histórico WALK-PAC-02. Rol real: paciente o expaciente utilizado como usuario no técnico para la validación. Fecha de la actividad: 19/07/2026. La hoja fue elaborada el 17/09/2026 a partir de las transcripciones conservadas y no se presenta como nota tomada durante la sesión original."
2026-07-19,EV2-PAC-04,Walkthrough,TRANSCRIPCIONES_EV2-PAC-04_Walkthrough.txt,2026-07-19_Walkthrough_Paciente_EV2-PAC-04_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-23,EVA2-PAC-10,Walkthrough,TRANSCRIPCIONES_EVA2-PAC-10_Walkthrough.txt,2026-07-23_Walkthrough_Paciente_EVA2-PAC-10_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-26,EV2-PAC-05,Entrevista,TRANSCRIPCIONES_EV2-PAC-05_Entrevista.txt,2026-07-26_Entrevista_Paciente_EV2-PAC-05_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-26,EV2-PAC-06,Entrevista,TRANSCRIPCIONES_EV2-PAC-06_Entrevista.txt,2026-07-26_Entrevista_Paciente_EV2-PAC-06_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-26,EV2-PAC-07,Entrevista,TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,2026-07-26_Entrevista_Paciente_EV2-PAC-07_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-26,EV2-PAC-08,Entrevista,TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,2026-07-26_Entrevista_Paciente_EV2-PAC-08_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-26,EV2-PAC-09,Entrevista,TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,2026-07-26_Entrevista_Paciente_EV2-PAC-09_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-26,EV2-PAC-05,Walkthrough,TRANSCRIPCIONES_EV2-PAC-05_Walktrough.txt,2026-07-26_Walkthrough_Paciente_EV2-PAC-05_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-26,EV2-PAC-06,Walkthrough,TRANSCRIPCIONES_EV2-PAC-06_Walktrough.txt,2026-07-26_Walkthrough_Paciente_EV2-PAC-06_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-26,EV2-PAC-07,Walkthrough,TRANSCRIPCIÓN  EV2-PAC-07 Walktrough.txt,2026-07-26_Walkthrough_Paciente_EV2-PAC-07_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-26,EV2-PAC-09,Walkthrough,TRANSCRIPCIONES_EV2-PAC-09_Walktrough.txt,2026-07-26_Walkthrough_Paciente_EV2-PAC-09_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-26,EVA2-PAC-13,Walkthrough,TRANSCRIPCIONES_EVA2-PAC-13_Walkthrough.txt,2026-07-26_Walkthrough_Paciente_EVA2-PAC-13_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-28,EVA2-PAC-12,Walkthrough,TRANSCRIPCIONES_EVA2-PAC-12_Walkthrough.txt,2026-07-28_Walkthrough_Paciente_EVA2-PAC-12_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-28,EVA2-PAC-14,Walkthrough,TRANSCRIPCIONES_EVA2-PAC-14_Walkthrough.txt,2026-07-28_Walkthrough_Paciente_EVA2-PAC-14_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-30,EVA2-PAC-11,Walkthrough,TRANSCRIPCIONES_EVA2-PAC-11_Walkthrough.txt,2026-07-30_Walkthrough_Paciente_EVA2-PAC-11_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,La hoja fue elaborada el 17/09/2026 a partir de la transcripción conservada y no se presenta como nota tomada durante la sesión original.
2026-07-23,WALK-TEC-01,Entrevista + Walkthrough,TRANSCRIPCIONES_WALK-TEC-01_Entrevista.txt; TRANSCRIPCIONES_WALK-TEC-01_Entrevista_Parte2.txt; TRANSCRIPCIÓN  WALK-TEC-01 Walkthrough..txt,2026-07-23_Walkthrough_Tecnico_WALK-TEC-01_Notas.jpeg,No hubo nota contemporánea; síntesis retrospectiva disponible,"Código vigente: WALK-TEC-01. El acta conserva el código histórico WALK-FIS-01 y fue firmada el 19/07/2026. Rol real: fisioterapeuta. La sesión registrada en video corresponde al 23/07/2026. La hoja fue elaborada el 17/09/2026 a partir de las transcripciones conservadas y no se presenta como nota tomada durante la sesión original."
