archivo,fecha_sesion_original,fecha_redaccion_declarada,fecha_incorporacion_repositorio,tipo,motivo
2026-07-19_Entrevista_Paciente_EV2-PAC-01_Notas.jpeg,2026-07-19,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-19_Entrevista_Paciente_EV2-PAC-03_Notas.jpeg,2026-07-19,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-19_Entrevista_Paciente_EV2-PAC-04_Notas.jpeg,2026-07-19,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-19_Walkthrough_No_Tecnico_WALK-NTEC-01_Notas.jpeg,2026-07-19,2026-09-17,2026-09-17,síntesis posterior,"Código vigente: WALK-NTEC-01. El acta conserva el código histórico WALK-PAC-02. Rol real: paciente o expaciente utilizado como usuario no técnico para la validación. Nota redactada el 17/09/2026 a partir de las transcripciones conservadas; no fue tomada durante la sesión original."
2026-07-19_Walkthrough_Paciente_EV2-PAC-04_Notas.jpeg,2026-07-19,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-23_Walkthrough_Paciente_EVA2-PAC-10_Notas.jpeg,2026-07-23,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-26_Entrevista_Paciente_EV2-PAC-05_Notas.jpeg,2026-07-26,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-26_Entrevista_Paciente_EV2-PAC-06_Notas.jpeg,2026-07-26,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-26_Entrevista_Paciente_EV2-PAC-07_Notas.jpeg,2026-07-26,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-26_Entrevista_Paciente_EV2-PAC-08_Notas.jpeg,2026-07-26,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-26_Entrevista_Paciente_EV2-PAC-09_Notas.jpeg,2026-07-26,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-26_Walkthrough_Paciente_EV2-PAC-05_Notas.jpeg,2026-07-26,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-26_Walkthrough_Paciente_EV2-PAC-06_Notas.jpeg,2026-07-26,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-26_Walkthrough_Paciente_EV2-PAC-07_Notas.jpeg,2026-07-26,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-26_Walkthrough_Paciente_EV2-PAC-09_Notas.jpeg,2026-07-26,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-26_Walkthrough_Paciente_EVA2-PAC-13_Notas.jpeg,2026-07-26,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-28_Walkthrough_Paciente_EVA2-PAC-12_Notas.jpeg,2026-07-28,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-28_Walkthrough_Paciente_EVA2-PAC-14_Notas.jpeg,2026-07-28,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-30_Walkthrough_Paciente_EVA2-PAC-11_Notas.jpeg,2026-07-30,2026-09-17,2026-09-17,síntesis posterior,"Nota redactada el 17/09/2026 a partir de la transcripción conservada; no fue tomada durante la sesión original."
2026-07-23_Walkthrough_Tecnico_WALK-TEC-01_Notas.jpeg,2026-07-23,2026-09-17,2026-09-17,síntesis posterior,"Código vigente: WALK-TEC-01. El acta conserva el código histórico WALK-FIS-01 y fue firmada el 19/07/2026. Rol real: fisioterapeuta. La sesión registrada en video corresponde al 23/07/2026. Nota redactada el 17/09/2026 a partir de las transcripciones conservadas; no fue tomada durante la sesión original."
